exp_num,num_classes,num_observations,first_class_perc,pred_approach,mean_accuracy,sd_accuracy,quantile_accuracy,mean_sensitivity,sd_sensitivity,quantile_sensitivity,mean_specificity,sd_specificity,quantile_specificity,mean_g_mean,sd_g_mean,quantile_g_mean,mean_precision,sd_precision,quantile_precision,mean_recall,sd_recall,quantile_recall,mean_f_measure,sd_f_measure,quantile_f_measure
56,2,100000,0.01,proportional,0.980195775,3.1484299577122385e-4,0.98095,0.01,0.003153853940731553,0.018,0.9899957323232323,3.1673242383034833e-4,0.9907373737373737,0.09818958152543814,0.01608662808901266,0.13348138446962007,0.009994951782562916,0.003137340710320214,0.01781972725574444,0.01,0.003153853940731553,0.018,0.00999495597089033,0.0031402393347829535,0.017801342741339477
57,2,100000,0.01,uniform,0.500003551,0.0015691635440010009,0.5036401,0.5002385,0.01574564734429898,0.536,0.50000117777777775,0.0015756152410727928,0.5036565656565657,0.5000572977117366,0.007922289912833945,0.5178806200917833,0.010004753318467126,3.135669670312306e-4,0.010720215007190826,0.5002385,0.01574564734429898,0.536,0.019617160308429357,6.148297210481309e-4,0.021019959747387233
58,2,100000,0.05,most_frequent,0.95,0,0.95,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
59,2,100000,0.05,proportional,0.904988627,6.842065906850598e-4,0.90656,0.0499488,0.003059419971997389,0.0574,0.9499907231578948,7.021301290336002e-4,0.9516210526315789,0.21772994309410526,0.006676155691477593,0.23347777985112528,0.0499425167885581,0.002981103812194871,0.05704998056256079,0.0499488,0.003059419971997389,0.0574,0.04994331913861636,0.0030009010657493828,0.057143087186565446
60,2,100000,0.05,uniform,0.500017761,0.001564214164836244,0.50368,0.50002238,0.007062318795571115,0.516,0.5000175178947368,0.0016087649543093862,0.5037263157894737,0.5000067566783969,0.0036124293719890367,0.5082737882177194,0.05000375906227804,6.862367799272907e-4,0.05158247155797811,0.50002238,0.007062318795571115,0.516,0.09091559979656923,0.0012483466045398854,0.0937891988862819
61,2,100000,0.1,most_frequent,0.9,0,0.9,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
62,2,100000,0.1,proportional,0.82000327,9.532795189681397e-4,0.8221801,0.09998622,0.0029790595145379553,0.1069,0.9000051644444444,9.99247355166224e-4,0.9023,0.29994689052714324,0.004476776422778011,0.31017703094820465,0.09999279208161013,0.0028463088184438132,0.1066052434318627,0.09998622,0.0029790595145379553,0.1069,0.0999872907058112,0.0028751150490650256,0.10661727900690758
63,2,100000,0.1,uniform,0.500018339,0.0015834994278883757,0.50367,0.50013276,0.004977302897836707,0.5116,0.5000056255555556,0.0016715042918390335,0.5038666666666667,0.5000622892321452,0.0026234550251575213,0.5059801773234351,0.10002491717143319,9.444574170376681e-4,0.10216228931687145,0.50013276,0.004977302897836707,0.5116,0.16670841659465024,0.0015763157183550634,0.17034513428153628
64,2,100000,0.2,most_frequent,0.8,0,0.8,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
65,2,100000,0.2,proportional,0.679989018,0.0012536129666779225,0.68295,0.19997462,0.0027946289289787775,0.2064,0.7999926175,0.0014097491201280892,0.803325,0.39996282737576566,0.0028137610499276754,0.40642709276994465,0.19997380554208524,0.002494057693654341,0.20570491412697656,0.19997462,0.0027946289289787775,0.2064,0.199972216531322,0.0025721027984005507,0.2058742898691645
66,2,100000,0.2,uniform,0.500020843,0.0015738909341559415,0.5036702,0.49998646,0.0034928011873585707,0.5081505000000001,0.50002943875,0.0017614544303769166,0.5041125,0.5000041290821545,0.0019572679647728184,0.504525730165243,0.20000511916584143,0.0012526896396374955,0.2029084105080591,0.49998646,0.0034928011873585707,0.5081505000000001,0.285716722330714,0.0018058225826712712,0.2898761872378508
67,2,100000,0.3333333333333333,most_frequent,0.66667,0,0.66667,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
68,2,100000,0.3333333333333333,proportional,0.555539807,0.0014868145797342887,0.55901,0.3333292952929529,0.002591256238491788,0.3393033930339303,0.6666433962830186,0.0018194895653349014,0.6707817960910195,0.4713894295374275,0.0019401774491150851,0.47587700289510915,0.33331172112475566,0.002107712975798905,0.33828439754568773,0.3333292952929529,0.002591256238491788,0.3393033930339303,0.3333188403592176,0.0022411922454440153,0.3384790640096641
69,2,100000,0.3333333333333333,uniform,0.500014556,0.001571479582327358,0.5037001000000001,0.5000270062700627,0.002725946924420135,0.5062550625506255,0.5000083309583452,0.0019428850082579311,0.5045074774626127,0.5000148292010066,0.0016624336488441365,0.5039087917008259,0.3333457177209538,0.0014776920506994363,0.33680466024507744,0.5000270062700627,0.002725946924420135,0.5062550625506255,0.400016584655401,0.0018437224351057473,0.40430123304951526
70,2,100000,0.5,most_frequent,0.5,0,0.5,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
71,2,100000,0.5,proportional,0.499986054,0.0015690054260220675,0.50362,0.499994826,0.002227154258540062,0.5051002,0.499977282,0.002234701832841279,0.50518,0.499983538877777,0.0015689876311383393,0.5036189344295876,0.49998607112907706,0.0015692069220515407,0.5036266596958905,0.499994826,0.002227154258540062,0.5051002,0.4999891910080936,0.0017556833526567895,0.5039729204079106
72,2,100000,0.5,uniform,0.49999519,0.0015900045519895644,0.5036901,0.500010784,0.002229681137100396,0.50528,0.499979596,0.00224993053571117,0.5051802,0.49999270123087625,0.0015900128759880905,0.5036844426411615,0.4999952354776612,0.0015899755093353259,0.5036888148860177,0.500010784,0.002229681137100396,0.50528,0.5000017654410617,0.001768479490094899,0.5041214601194856
73,3,100,0.01,most_frequent,0.49,0,0.49,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
74,3,100,0.01,proportional,0.490183,0.0498542380897106,0.6,0.0097,0.09801464526828992,0,0.9901585858585858,0.00997669493177449,1,0.009655868592640074,0.09756965408149523,0,0.01003249174390114,0.0875108807784183,0.5,0.0097,0.09801464526828992,0,0.7498281786941581,0.210000204549074,1
75,3,100,0.01,uniform,0.334279,0.04708823514625409,0.45,0.3346,0.4718740366990443,1,0.666839393939394,0.04782212159914907,0.7777777777777778,0.2730128790136816,0.38539895755157977,0.8703882797784892,0.010043553151382776,0.01439701375357139,0.04,0.3346,0.4718740366990443,1,0.058247477326751916,0.008371957300556085,0.08333333333333333
76,3,100,0.05,most_frequent,0.47,0,0.47,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
77,3,100,0.05,proportional,0.453832,0.04854906257743516,0.57,0.0511,0.09855841605939908,0.4,0.9497694736842105,0.022501036781855718,0.9894736842105263,0.10486241389920044,0.19379383583836005,0.6189974917048067,0.05100091561146838,0.10941228993184368,0.5,0.0511,0.09855841605939908,0.4,0.21080120325839488,0.0661535574034174,0.4444444444444445
78,3,100,0.05,uniform,0.333118,0.047018710657728495,0.45,0.33292,0.21151063158793573,0.8,0.6667778947368421,0.04800867061726017,0.7789473684210526,0.4265621505450622,0.2002800822712028,0.7567242423415339,0.0499610555245533,0.03159794662814549,0.12903225806451613,0.33292,0.21151063158793573,0.8,0.10020060483143672,0.045775733007693,0.2222222222222222
79,3,100,0.1,most_frequent,0.45,0,0.45,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
80,3,100,0.1,proportional,0.415022,0.04771904469624966,0.53,0.09914,0.09474258818399242,0.4,0.8998911111111111,0.03173524685324187,0.9666666666666667,0.23420710114439863,0.18546765587684785,0.5887840577551898,0.09928596512792333,0.0961415882961327,0.375,0.09914,0.09474258818399242,0.4,0.1498829188665388,0.06915314188101976,0.3636363636363636
81,3,100,0.1,uniform,0.332939,0.04707668106812585,0.45,0.33246,0.14785984800974653,0.7,0.6670433333333333,0.04959010096892026,0.7777777777777778,0.455305124190166,0.12044004972535674,0.6944222218666553,0.09991088940163603,0.043167759505991214,0.20689655172413793,0.33246,0.14785984800974653,0.7,0.15580203008177687,0.06316930326168617,0.3157894736842105
82,3,100,0.2,most_frequent,0.4,0,0.4,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
